New Run at  07/14/2017 15:34:38
, Time, RandomReward; N_LinUCBReward; 
data,1238536800000,0;7;0
data,1238536800000,0;39;0
data,1238536800000,0;60;0
data,1238536800000,0;92;0
data,1238536800000,0;112;0
data,1241128800000,0;133;0
data,1241128800000,0;153;0
data,1241128800000,0;188;0
data,1241128800000,0;215;0
data,1241128800000,0;245;0
data,1233442800000,0;251;0
data,1233442800000,0;276;0
data,1233442800000,0;298;0
data,1233442800000,0;334;0
data,1235862000000,0;354;0
data,1235862000000,0;381;0
data,1235862000000,0;410;0
data,1246399200000,0;431;0
data,1246399200000,0;444;0
data,1246399200000,0;478;0
data,1249077600000,0;504;0
data,1249077600000,0;141;0
data,1251756000000,0;548;0
data,1251756000000,0;561;0
data,1251756000000,0;596;0
data,1251756000000,0;603;0
data,1254348000000,0;643;0
data,1254348000000,0;654;0
data,1254348000000,0;683;0
data,1257030000000,0;694;0
data,1264978800000,0;724;0
data,1264978800000,0;745;0
data,1264978800000,0;784;0
data,1264978800000,0;789;0
data,1267398000000,0;828;0
data,1267398000000,0;835;0
data,1272664800000,0;853;0
data,1280613600000,0;897;0
data,1280613600000,0;904;0
data,1280613600000,0;929;0
data,1280613600000,0;85;0
data,1283292000000,0;971;0
data,1285884000000,0;991;0
data,1288566000000,0;1016;0
data,1288566000000,0;1028;0
data,1172703600000,0;1063;0
data,1172703600000,0;1075;0
data,1172703600000,0;1090;1
data,1172703600000,0;1115;2
data,1172703600000,0;1147;2
data,1172703600000,0;1179;2
data,1172703600000,0;1195;2
data,1175378400000,0;1211;2
data,1175378400000,1;1229;3
data,1175378400000,1;1274;3
data,1175378400000,1;1279;3
data,1177970400000,1;1312;3
data,1177970400000,1;1334;3
data,1177970400000,1;1354;3
data,1177970400000,1;1372;3
data,1180648800000,1;849;3
data,1180648800000,1;916;3
data,1180648800000,1;1451;3
data,1180648800000,1;1475;3
data,1180648800000,1;1482;4
data,1180648800000,1;186;5
data,1180648800000,1;1529;5
data,1180648800000,1;1556;5
data,1180648800000,1;1564;6
data,1180648800000,1;1596;6
data,1183240800000,1;436;6
data,1185919200000,1;1650;6
